epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,45.45,45.45,1098,nan,4.257329466404059,4.447115384615385,95.55288461538461,18.21113782051282,0.7387345656752586,2.610260434448719,4.365929752970353,4.063704490661621,6.190000101923943,93.80999989807606,24.25,1.8440065905451775,3.3656921890704057,4.431338608264923,-1.7428847173085575,71.55992126464844,0.0749520355251815,0.36875152587890625,0.0002564102564102564,140.90280594458946,0.9989240835874509,0.009254654805731974,0.09719114704295746,nan,1.0
2,780,780,88.88,43.38,1151,nan,4.011728922526042,6.714743589743589,93.28525641025641,24.971955128205128,1.5328066423535347,4.155123978853226,5.193668055610779,3.958949327468872,8.330000191926956,91.66999980807304,27.47,2.9330283403396606,4.916376428947685,5.396971479058266,-1.6152566021833668,67.64971160888672,0.13550707559901265,0.010456085205078125,0.0001282051282051282,291.42274991548976,0.9982907869876959,0.013684572574333774,-0.0020258106511338303,nan,1.0
3,1170,1170,131.9,42.97,1162,nan,3.9366139729817706,8.327323717948717,91.67267628205128,27.469951923076923,2.6293275877833366,5.381516367197037,5.6980131432796135,3.898683547973633,8.990000188350677,91.00999981164932,28.68,2.885759063065052,5.6890401730210325,6.104240566492081,-0.6626764704019603,65.56127166748047,0.18258631335917377,0.005619049072265625,8.547008547008547e-05,429.8315140944261,0.9980610405787443,0.015138769218555866,0.013562526148586124,nan,1.0
4,1560,1560,175.4,43.42,1150,nan,3.8931199293870193,9.154647435897436,90.84535256410257,28.98036858974359,3.0450496822595596,6.1789460480213165,6.109599559926069,3.862112045288086,9.740000218153,90.259999781847,30.52,3.560049831867218,6.499223282356693,6.179950386285782,-0.5853527822555638,64.14985656738281,0.22436759213429455,0.0034313201904296875,6.41025641025641e-05,548.0086427346254,0.9980148420884059,0.01518513649576216,0.01862312180646523,nan,1.0
5,1950,1950,218.84,43.39,1150,nan,3.8580136030148235,9.823717948717949,90.17628205128204,30.224358974358974,3.380388393998146,6.787283718585968,6.443320030394273,3.8237464427948,10.71999967098236,89.28000032901764,31.17,4.05866876244545,7.332406552351283,6.661330908536911,-0.8962817222644119,63.1092414855957,0.25482385247832795,0.002612590789794922,5.1282051282051286e-05,632.7904321915064,0.9979007312884698,0.015806049525587264,-0.0799916090769697,nan,1.0
6,2340,2340,262.31,43.41,1150,nan,3.830237285907452,10.17227564102564,89.82772435897436,31.278044871794872,3.4781821072101593,7.152659446001053,6.694100149548971,3.7929844856262207,11.490000039339066,88.50999996066093,32.49,4.511427506804466,7.9126101462899445,6.978572905063629,-1.317724398313425,62.28919219970703,0.2917908179332584,0.002288341522216797,4.2735042735042735e-05,728.0186663505359,0.9978261105525188,0.016191811947999655,-0.0007216284959771758,nan,1.0
7,2730,2730,305.72,43.35,1151,nan,3.8107714530749197,10.713141025641026,89.28685897435898,31.796875,3.7099458277225494,7.567122578620911,7.003195234216177,3.7654008865356445,11.980000138282776,88.01999986171722,33.0,4.609570652246475,8.361310346904167,7.37043023109436,-1.2668591126417503,61.60594177246094,0.32818236670114936,0.0015897750854492188,3.663003663003663e-05,821.4186382587139,0.9978759197088388,0.015584003555504596,-0.01725209538655293,nan,1.0
8,3120,3120,349.21,43.48,1148,nan,3.7904913486578526,11.053685897435898,88.9463141025641,32.3838141025641,3.89755517244339,7.905189692974091,7.156127188832332,3.766826868057251,11.940000206232071,88.05999979376793,33.54,4.863849654793739,8.657621425343288,7.086426764726639,-0.8863143087961731,61.031795501708984,0.35474041463484557,0.0013833045959472656,3.205128205128205e-05,890.7818896171374,0.9978121297481732,0.015878244572214373,-0.0726092050664045,nan,1.0
9,3510,3510,392.69,43.47,1149,nan,3.7698563013321316,11.270032051282051,88.72996794871796,32.97475961538461,3.8783542811870575,8.08146521449089,7.39167254513655,3.742680788040161,11.649999767541885,88.35000023245811,33.7,3.6215875297784805,8.250877129719782,8.045031875371933,-0.3799677162598343,60.5395622253418,0.3948614071798351,0.0014495849609375,2.8490028490028492e-05,986.9827544383513,0.9977518712862944,0.01617427902241213,0.009406087060207579,nan,1.0
10,3900,3900,436.18,43.47,1148,nan,3.7558722080328524,11.50040064102564,88.49959935897436,33.48557692307692,3.9721697568893433,8.347389101982117,7.528235513048294,3.721372604370117,11.959999799728394,88.0400002002716,34.5,3.702782839536667,8.413128070708604,8.257216960191727,-0.45959915870275303,60.10481262207031,0.42425688948514895,0.001071929931640625,2.5641025641025643e-05,1066.8159641363682,0.99775302868623,0.01605318491642622,0.00636077720989759,nan,1.0
