epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,351,351,13.91,13.91,3230,0.000975666359041341,1.3545214241726107,50.75899216524216,49.24100783475784,92.75730056980056,1.5799492597579956,50.49571394920349,52.338517051816325,1.1461780071258545,59.97999906539917,40.02000093460083,95.34,5.190562084317207,58.187334378134125,65.00137448310852,-9.221006900157008,117.5989990234375,nan,0.017366409301757812,nan,nan,nan,nan,nan,nan,nan
2,702,702,25.18,11.27,3986,0.0009047713809717391,0.8947174735897966,68.33155270655271,31.668447293447286,97.49376780626781,0.632282393053174,68.2263195514679,68.70121293597751,0.818090558052063,71.31999731063843,28.680002689361572,98.24,3.180554509162903,71.45805255894453,73.83331060409546,-2.988444604085714,123.187255859375,nan,0.015752792358398438,nan,nan,nan,nan,nan,nan,nan
3,1053,1053,36.38,11.2,4012,0.0007942545599245804,0.6927874008474866,75.6610576923077,24.338942307692307,98.51985398860398,0.637495331466198,75.59272646903992,76.07839189024052,0.6686948537826538,77.02000141143799,22.97999858856201,98.6,1.830155961215496,77.2427427665177,78.59025597572327,-1.3589437191302949,128.28944396972656,nan,0.014661788940429688,nan,nan,nan,nan,nan,nan,nan
4,1404,1404,47.65,11.28,3985,0.0006549340523599308,0.5755302852545029,79.87001424501425,20.129985754985753,99.02510683760684,0.54673096165061,79.81697916984558,80.12812429683501,0.581287682056427,80.58000206947327,19.419997930526733,99.16,3.1283028423786163,80.62146146208534,83.09789299964905,-0.7099878244590201,132.43125915527344,nan,0.012058258056640625,nan,nan,nan,nan,nan,nan,nan
5,1755,1755,58.95,11.29,3978,0.0005004475202612731,0.4853567385945225,83.2843660968661,16.715633903133906,99.24768518518519,0.4568963311612606,83.23831558227539,83.14210278356177,0.4639003276824951,84.42000150680542,15.57999849319458,99.2,1.1153386905789375,84.6230328129636,84.57155227661133,-1.1356354099393258,135.3651885986328,nan,0.008504867553710938,nan,nan,nan,nan,nan,nan,nan
6,2106,2106,70.17,11.22,4006,0.00034591718176138465,0.41119866145302425,85.74385683760684,14.256143162393158,99.45023148148148,0.27185450308024883,85.7103168964386,85.61647702486087,0.442623496055603,85.01999974250793,14.980000257492065,99.32,2.7498865500092506,85.33077375677833,87.64890432357788,0.7238570950989072,137.15353393554688,nan,0.0051708221435546875,nan,nan,nan,nan,nan,nan,nan
7,2457,2457,80.54,10.37,4331,0.0002064695430688134,0.3492468919849124,87.9852207977208,12.0147792022792,99.64387464387464,0.37627159617841244,87.95463442802429,87.67542613197935,0.3782617747783661,86.86000108718872,13.13999891281128,99.48,2.1879756823182106,87.01002566042142,88.91144394874573,1.125219710532079,138.0367431640625,nan,0.0025234222412109375,nan,nan,nan,nan,nan,nan,nan
8,2808,2808,87.66,7.12,6308,9.575471064761743e-05,0.28920559292165643,90.059650997151,9.940349002849004,99.71064814814815,0.775561248883605,90.03360867500305,89.30149312712189,0.3286192715167999,88.63999843597412,11.360001564025879,99.64,1.6825566068291664,88.78516577384484,90.28965830802917,1.4196525611768749,138.34841918945312,nan,0.0008525848388671875,nan,nan,nan,nan,nan,nan,nan
9,3159,3159,98.53,10.87,4135,2.4610223690779976e-05,0.251355237070142,91.37731481481481,8.62268518518519,99.79967948717949,0.9682100266218185,91.3486897945404,90.48071804209653,0.3195660710334778,89.13999795913696,10.860002040863037,99.52,2.0165421068668365,89.29333934035286,91.13739132881165,2.2373168556778467,138.40914916992188,nan,0.00017547607421875,nan,nan,nan,nan,nan,nan,nan
10,3510,3510,109.81,11.28,3982,2.0027442437786646e-10,0.2325798555401995,92.01388888888889,7.986111111111114,99.83751780626781,1.1360435746610165,91.98972582817078,90.92598903892387,0.3183075189590454,89.3999993801117,10.600000619888306,99.58,2.0475689321756363,89.5601007889332,91.3046658039093,2.6138895087771914,138.41339111328125,nan,1.52587890625e-05,nan,nan,nan,nan,nan,nan,nan
