epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,28.94,28.94,1725,0.09938756336613569,3.8288552455413036,10.79326923076923,89.20673076923077,31.963141025641026,2.6857558637857437,9.766709804534912,13.4790216309902,3.5671067237854004,15.309999883174896,84.6900001168251,41.98,6.077192723751068,12.546647747331233,21.387192606925964,-4.516730652405666,112.06082153320312,nan,0.000347137451171875,nan,nan,nan,nan,nan,nan,nan
2,780,780,55.58,26.64,1874,0.09755904506982882,3.1551742718769953,21.724759615384617,78.27524038461539,51.50240384615385,1.8623627722263336,20.302806794643402,23.587140276646004,3.1148126125335693,24.500000476837158,75.49999952316284,52.55,1.6147799789905548,22.880040287434532,25.813034176826477,-2.7752408614525415,112.29036712646484,nan,0.0007648468017578125,nan,nan,nan,nan,nan,nan,nan
3,1170,1170,82.55,26.97,1851,0.09455946524448153,2.7302045681537725,30.18028846153846,69.81971153846155,62.063301282051285,0.9641129523515701,29.034054279327393,30.78850955535204,2.5446228981018066,34.36000049114227,65.63999950885773,66.73,3.0928751453757286,32.11614186739906,37.452876567840576,-4.179712029603813,112.55320739746094,nan,0.000774383544921875,nan,nan,nan,nan,nan,nan,nan
4,1560,1560,109.51,26.96,1852,0.09046268350042852,2.4090389248652335,36.32211538461539,63.67788461538461,69.5292467948718,0.7231075782328844,35.454317927360535,36.66128090558908,2.3328213691711426,38.26000094413757,61.73999905586243,71.44,3.897974267601967,36.874143445212695,42.1047568321228,-1.9378855595221864,112.82129669189453,nan,0.000640869140625,nan,nan,nan,nan,nan,nan,nan
5,1950,1950,136.43,26.92,1854,0.08536957620064747,2.144534560961601,42.39783653846154,57.60216346153846,74.69751602564102,0.9353216737508774,41.72024428844452,41.72846166751324,2.1143577098846436,43.59000027179718,56.40999972820282,75.34,3.975774347782135,42.77271251096568,47.540298104286194,-1.19216373333564,113.07978057861328,nan,0.0007190704345703125,nan,nan,nan,nan,nan,nan,nan
6,2340,2340,163.55,27.12,1841,0.07940555254991305,1.9460834197508983,46.51442307692308,53.48557692307692,78.74399038461539,0.882544182240963,45.91228365898132,45.79775812534186,1.9245250225067139,47.42000102996826,52.57999897003174,78.38,2.555663324892521,47.08188669725072,49.908438324928284,-0.9055779530451815,113.31924438476562,nan,0.0006732940673828125,nan,nan,nan,nan,nan,nan,nan
7,2730,2730,190.51,26.95,1852,0.07271746660396598,1.774311819137671,50.61498397435897,49.38501602564103,81.71875,1.2205884791910648,50.096625089645386,49.394402687366195,1.979675531387329,46.75000011920929,53.24999988079071,77.95,4.064568504691124,46.04926178272874,50.814563035964966,3.8649838551496813,113.53800964355469,nan,0.0005340576171875,nan,nan,nan,nan,nan,nan,nan
8,3120,3120,217.56,27.06,1845,0.06547000123528023,1.6218509836074633,54.553285256410255,45.446714743589745,84.21875,2.008144371211529,54.11915183067322,52.545147492335396,1.7198054790496826,52.56999731063843,47.43000268936157,82.32,2.527056261897087,52.07461010121512,54.83665466308594,1.9832879457718278,113.73312377929688,nan,0.0004711151123046875,nan,nan,nan,nan,nan,nan,nan
9,3510,3510,244.56,27.0,1849,0.05784161309419131,1.5034742361459976,57.54807692307692,42.45192307692308,86.10176282051282,2.5676246732473373,57.178306579589844,54.98043168813754,2.0204567909240723,47.78999984264374,52.21000015735626,77.55,8.586420118808746,48.467984453803766,56.376415491104126,9.758077080433182,113.9024429321289,nan,0.00039577484130859375,nan,nan,nan,nan,nan,nan,nan
10,3900,3900,271.66,27.1,1842,0.050020138413901606,1.3887862074069488,60.548878205128204,39.451121794871796,87.93669871794872,3.168541193008423,60.20318269729614,57.380318595812874,1.7189277410507202,53.710001707077026,46.289998292922974,82.78,7.382131367921829,53.634943081149665,61.092132329940796,6.838876498051178,114.04644775390625,nan,0.00038433074951171875,nan,nan,nan,nan,nan,nan,nan
11,4290,4290,298.94,27.27,1830,0.042198167859026095,1.2879243937822489,62.94070512820513,37.05929487179487,89.36899038461539,3.540284186601639,62.63113021850586,59.40065412949293,1.4953361749649048,57.70999789237976,42.29000210762024,85.83,4.224326089024544,57.64986732460462,61.910879611968994,5.230707235825371,114.16514587402344,nan,0.00026226043701171875,nan,nan,nan,nan,nan,nan,nan
12,4680,4680,325.9,26.96,1852,0.03456830430425774,1.2004144225365077,65.40665064102564,34.593349358974365,90.64703525641026,4.340614378452301,65.14437794685364,61.06962986481496,1.4134267568588257,60.29000282287598,39.70999717712402,87.03,2.600480243563652,60.14368479482536,62.67436742782593,5.116647818149659,114.26030731201172,nan,0.0002155303955078125,nan,nan,nan,nan,nan,nan,nan
13,5070,5070,350.13,24.24,2060,0.027318420312380284,1.1253269513448079,67.3076923076923,32.69230769230769,91.58453525641026,4.578836262226105,67.09665656089783,62.729078943912796,1.3948930501937866,60.50000190734863,39.49999809265137,87.38,4.2664241045713425,60.31366586560083,64.76641893386841,6.807690400343674,114.3323745727539,nan,0.00019741058349609375,nan,nan,nan,nan,nan,nan,nan
14,5460,5460,380.94,30.81,1620,0.020627032088259292,1.047098516042416,69.48116987179488,30.518830128205124,92.74839743589743,5.4422639310359955,69.2688524723053,64.03906029004317,1.36909818649292,61.05999946594238,38.94000053405762,87.79,4.726582393050194,60.889096266158816,65.69938063621521,8.421170405852493,114.38731384277344,nan,0.0001659393310546875,nan,nan,nan,nan,nan,nan,nan
15,5850,5850,411.62,30.68,1627,0.014658903817416864,0.9958119852420612,71.08974358974359,28.91025641025641,93.23517628205128,6.011800095438957,70.89536190032959,65.07790218561124,1.336424469947815,61.94999814033508,38.05000185966492,88.1,4.266352951526642,61.64011010434967,66.21635556221008,9.139745449408508,114.42525482177734,nan,0.00010395050048828125,nan,nan,nan,nan,nan,nan,nan
16,6240,6240,442.57,30.94,1613,0.00956099062496335,0.9497664706829266,72.2636217948718,27.736378205128204,93.85416666666667,6.263507902622223,72.09548950195312,66.00060291779347,1.300317406654358,62.940001487731934,37.059998512268066,88.7,3.4510865807533264,62.711978825027316,66.39108657836914,9.323620307139862,114.44989776611328,nan,6.866455078125e-05,nan,nan,nan,nan,nan,nan,nan
17,6630,6630,473.73,31.16,1602,0.005458820052700781,0.9131652592084347,73.56570512820512,26.434294871794876,94.16065705128206,6.876647472381592,73.39979410171509,66.6892903431868,1.2820812463760376,62.95999884605408,37.04000115394592,88.89,3.9012353867292404,62.75894298586666,66.84719920158386,10.605706282151047,114.46459197998047,nan,4.1961669921875e-05,nan,nan,nan,nan,nan,nan,nan
18,7020,7020,504.88,31.15,1602,0.002453401154441881,0.8917494162535056,74.24078525641026,25.759214743589737,94.52123397435898,7.135719805955887,74.0713357925415,67.10527652349228,1.2723064422607422,63.3400022983551,36.6599977016449,89.03,3.600597009062767,63.07882188093712,66.92751049995422,10.90078295805516,114.47198486328125,nan,2.002716064453125e-05,nan,nan,nan,nan,nan,nan,nan
19,7410,7410,535.95,31.07,1607,0.0006187373178752399,0.8739148182746691,74.7235576923077,25.276442307692307,94.70953525641026,7.540760934352875,74.57818388938904,67.18271159208737,1.2761919498443604,63.26000094413757,36.73999905586243,89.02,3.9783965796232224,63.05826165566455,67.23366975784302,11.46355674817012,114.47476959228516,nan,8.58306884765625e-06,nan,nan,nan,nan,nan,nan,nan
20,7800,7800,567.34,31.4,1590,4.055557306648083e-09,0.8655688641927182,74.92988782051282,25.070112179487182,94.83573717948718,7.663638889789581,74.78756308555603,67.26643678469536,1.2712889909744263,63.60999941825867,36.39000058174133,89.06,3.568398207426071,63.34677054169951,67.15945601463318,11.31988840225415,114.47515869140625,nan,2.86102294921875e-06,nan,nan,nan,nan,nan,nan,nan
