epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,351,351,11.3,11.3,3976,0.00975666359041341,1.847616630402046,31.01184116809117,68.98815883190883,83.19310897435898,4.071865975856781,30.297651886940002,26.9833731600362,1.6048104763031006,40.32000005245209,59.67999994754791,90.54,6.099695339798927,39.01702375426163,34.27976369857788,-9.308158884360918,111.77100372314453,nan,2.288818359375e-05,nan,nan,nan,nan,nan,nan,nan
2,702,702,20.88,9.57,4692,0.009047713809717391,1.5609231552167495,41.831374643874646,58.168625356125354,90.49145299145299,3.4549035131931305,41.273584961891174,38.46218191999995,1.4347623586654663,47.31999933719635,52.68000066280365,93.28,3.148563951253891,46.62003527897976,44.26322877407074,-5.488624693321704,111.77771759033203,nan,1.621246337890625e-05,nan,nan,nan,nan,nan,nan,nan
3,1053,1053,30.52,9.65,4657,0.007942545599245805,1.4345608830791592,47.28676994301994,52.71323005698006,92.33885327635328,2.7857616543769836,46.79686725139618,44.61392995468911,1.3128430843353271,51.62000060081482,48.37999939918518,94.38,3.691692277789116,50.93651056249061,48.18015694618225,-4.3332306577948785,111.78323364257812,nan,1.71661376953125e-05,nan,nan,nan,nan,nan,nan,nan
4,1404,1404,40.2,9.68,4641,0.006549340523599308,1.343019270149731,51.14627849002849,48.85372150997151,93.55413105413105,2.615699917078018,50.74540972709656,48.553966295685186,1.2406463623046875,55.14000058174133,44.85999941825867,95.56,4.6087585389614105,55.02954569041445,50.5312442779541,-3.99372209171284,111.7878646850586,nan,1.811981201171875e-05,nan,nan,nan,nan,nan,nan,nan
5,1755,1755,49.92,9.72,4623,0.005004475202612731,1.2638620695157607,54.32914886039886,45.67085113960114,94.4221866096866,2.5420580059289932,54.010576009750366,51.78709634688505,1.1681277751922607,57.71999955177307,42.28000044822693,95.86,3.3877361565828323,57.34711213292404,54.71314191818237,-3.3908506913742116,111.79137420654297,nan,8.58306884765625e-06,nan,nan,nan,nan,nan,nan,nan
6,2106,2106,59.68,9.76,4605,0.0034591718176138465,1.200583284397071,56.90883190883191,43.09116809116809,94.8962784900285,2.9374107718467712,56.60783052444458,54.02294271691912,1.1101207733154297,59.859997034072876,40.140002965927124,96.24,2.458151988685131,59.4630904985061,57.61451721191406,-2.951165125240969,111.7939453125,nan,7.62939453125e-06,nan,nan,nan,nan,nan,nan,nan
7,2457,2457,69.51,9.83,4569,0.0020646954306881337,1.16018367900468,58.400106837606835,41.599893162393165,95.49501424501425,2.726021409034729,58.16988945007324,55.690607895538676,1.085721731185913,60.64000129699707,39.35999870300293,96.36,2.398202568292618,60.35397224048158,58.777302503585815,-2.2398944593902357,111.79536437988281,nan,4.76837158203125e-06,nan,nan,nan,nan,nan,nan,nan
8,2808,2808,79.37,9.86,4559,0.0009575471064761742,1.1293447197672308,59.45957977207977,40.54042022792023,95.69978632478633,2.8054844588041306,59.21327471733093,56.65410217056927,1.064215898513794,62.26000189781189,37.73999810218811,96.62,3.445946052670479,62.125797222558376,58.93372893333435,-2.800422125732119,111.79611206054688,nan,2.86102294921875e-06,nan,nan,nan,nan,nan,nan,nan
9,3159,3159,89.29,9.92,4528,0.00024610223690779974,1.1138616756156638,60.27421652421653,39.72578347578347,95.88007478632478,3.053063713014126,60.066646337509155,57.22462118860663,1.0503901243209839,62.779998779296875,37.220001220703125,96.76,4.136538505554199,62.68730600677153,58.85672569274902,-2.505782255080348,111.79637145996094,nan,0.0,nan,nan,nan,nan,nan,nan,nan
10,3510,3510,99.19,9.9,4539,2.0027442437786648e-09,1.106533118123003,60.510149572649574,39.489850427350426,95.86672008547009,3.1434550881385803,60.25257706642151,57.414048468625104,1.0504974126815796,62.63999938964844,37.36000061035156,96.72,3.5405047237873077,62.44071421571128,59.184730052948,-2.1298498169988633,111.7964096069336,nan,9.5367431640625e-07,nan,nan,nan,nan,nan,nan,nan
