epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,45.97,45.97,1086,nan,3.1443464719332184,25.04607371794872,74.95392628205128,80.13822115384616,1.7697788774967194,24.328617751598358,26.815830799631584,1.9342913627624512,28.09000015258789,71.90999984741211,79.95,4.6146210283041,25.74923591770622,28.516462445259094,-3.0439264346391717,31.768686294555664,0.07706354320654157,56.049248695373535,0.002564102564102564,91.60559336222136,0.9999686459700267,0.00287021429716032,0.005707384060446581,nan,1.0
2,780,780,90.25,44.26,1128,nan,1.5606853986397768,41.64863782051282,58.35136217948718,90.8193108974359,2.4483151733875275,40.65774977207184,39.2883793818645,1.4508599042892456,45.78999876976013,54.21000123023987,92.81,3.0633265152573586,44.83716408501852,42.72930324077606,-4.141360949247314,27.695409774780273,0.1413047165476663,0.03139472007751465,0.001282051282051282,222.32263883933044,0.9990922313470106,0.00809237134289097,0.017704719878873523,nan,1.0
3,1170,1170,134.46,44.18,1130,nan,1.3112941038914216,52.19350961538461,47.80649038461539,94.23677884615384,3.017965890467167,51.55308246612549,49.17554683410204,1.2086971998214722,55.5899977684021,44.4100022315979,95.22,1.3681786134839058,54.884923158424016,54.52330708503723,-3.3964881530174864,26.708633422851562,0.218491534053641,0.009696006774902344,0.0008547008547008547,425.39117455115684,0.9988650652078482,0.009328741650213447,0.011340502658295925,nan,1.0
4,1560,1560,178.93,44.45,1123,nan,1.1114636552639496,59.97596153846154,40.02403846153846,95.98958333333333,2.8188306838274,59.55384373664856,57.157662159357315,1.1719177961349487,58.38000178337097,41.61999821662903,94.83,3.4864120185375214,58.139980868723164,61.12806797027588,1.5959597550905684,26.30595588684082,0.3038766018404457,0.007662534713745117,0.000641025641025641,661.6000768416967,0.9987615846670591,0.009411476714549397,-0.02913748660727883,nan,1.0
5,1950,1950,223.23,44.29,1127,nan,0.9820265915149298,64.74158653846153,35.25841346153847,96.92508012820512,2.474742755293846,64.43249583244324,62.26682756191645,1.000113844871521,64.42000269889832,35.579997301101685,97.37,1.838860660791397,64.74672941121959,64.62454795837402,0.32158383956321757,26.033916473388672,0.3744218177067755,0.0057239532470703125,0.0005128205128205128,871.8606246556991,0.998731937011083,0.009049837674117744,0.006648070639072292,nan,1.0
6,2340,2340,267.55,44.3,1127,nan,0.882404143229509,68.52764423076923,31.472355769230774,97.67828525641026,2.6536591351032257,68.34325194358826,65.87401344225957,0.8938191533088684,68.23999881744385,31.760001182556152,97.24,1.609114184975624,67.82800384293458,68.25326681137085,0.28764541332537874,25.961626052856445,0.4512204783582469,0.005479097366333008,0.00042735042735042735,1100.1860036996695,0.998647289398389,0.009482306011794086,-0.012744378115598275,nan,1.0
7,2730,2730,311.73,44.16,1130,nan,0.7972838013600081,72.10536858974359,27.89463141025641,98.21113782051282,2.7379781007766724,71.98354601860046,69.36744885566907,0.8865463733673096,69.8199987411499,30.180001258850098,96.43,0.9066116064786911,70.01258160030083,69.85862255096436,2.285369848593689,25.859275817871094,0.5340970801827897,0.004181861877441406,0.0003663003663003663,1359.255623841897,0.9986466919764494,0.009255681218396797,-0.012049809889125289,nan,1.0
8,3120,3120,356.14,44.36,1125,nan,0.7178670154168055,75.25440705128206,24.745592948717942,98.45953525641026,2.6805102825164795,75.18084645271301,72.5738854591663,0.8008043169975281,71.78999781608582,28.210002183914185,98.14,4.618481546640396,71.10059600629957,76.36380791664124,3.4644092351962428,25.78005599975586,0.6314773070467536,0.004078388214111328,0.0003205128205128205,1648.1414560171274,0.998620087825335,0.009243029516211447,-0.002306492664886858,nan,1.0
9,3510,3510,400.46,44.29,1127,nan,0.6510483198440992,77.76442307692308,22.23557692307692,98.68790064102564,2.550961449742317,77.7108371257782,75.2133478415318,0.671921968460083,77.06999778747559,22.930002212524414,98.55,1.2377632781863213,76.28219825837628,77.90910005569458,0.6944252894474943,25.662904739379883,0.6975026103774501,0.004988908767700195,0.0002849002849002849,1876.820063664363,0.9986303194975241,0.009185206479872234,-0.013281127434563743,nan,1.0
10,3900,3900,444.66,44.19,1130,nan,0.6029777331229967,79.46514423076923,20.534855769230774,98.83814102564102,2.3340631276369095,79.41747903823853,77.13110018999149,0.6255837678909302,78.43000292778015,21.56999707221985,98.68,1.0192539542913437,78.46542938973667,78.40033769607544,1.035141302989075,25.515134811401367,0.7649110427881715,0.0042269229888916016,0.0002564102564102564,2082.771195788261,0.9986479149414943,0.009013384402242112,-0.010551968405223686,nan,1.0
11,4290,4290,488.81,44.13,1131,nan,0.5643881684694535,80.73517628205128,19.264823717948715,99.0224358974359,2.210281416773796,80.71021437644958,78.52478534747392,0.6330265402793884,78.18999886512756,21.810001134872437,98.75,2.120016887784004,77.80190620259872,79.628986120224,2.545177416923721,25.416568756103516,0.8434659767101488,0.004786252975463867,0.0002331002331002331,2319.20107421875,0.9986213864424289,0.009244988323298519,-0.0035487402445840387,nan,1.0
