epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,45.43,45.43,1099,nan,2.61853076616923,19.262820512820515,80.73717948717949,73.51161858974359,3.2823175191879272,18.772749602794647,22.545145341219047,1.908462643623352,22.920000553131104,77.0799994468689,82.52,4.14745919406414,17.59492932947187,27.067458629608154,-3.657180040310589,31.377790451049805,0.07601280803723405,36.78938961029053,0.002852561392733359,106.89517380641057,1.0002439494316395,9.791083186621713e-05,0.053005935965502286,nan,1.0
2,780,780,89.6,44.14,1131,nan,1.7322926447941707,31.213942307692307,68.7860576923077,88.09495192307692,1.3211820274591446,28.913217782974243,30.21386687572186,1.7990416288375854,28.33000123500824,71.66999876499176,86.26,2.383887954056263,24.087468045574912,29.16063666343689,2.883941072684067,26.640338897705078,0.1000274180631145,0.036144256591796875,0.00125017187485099,138.69132778461162,0.9992734126555614,0.007889338890209078,0.012833986903992617,nan,1.0
3,1170,1170,133.9,44.27,1128,nan,1.6146912403595752,36.11378205128205,63.88621794871795,90.51883012820512,2.0873505622148514,33.84058475494385,34.04191908928064,1.5806282758712769,37.16999888420105,62.83000111579895,90.35,3.0000682920217514,34.38436856803174,35.02306640148163,-1.0562168329189987,26.08422088623047,0.1539045140086781,0.022958040237426758,0.0007755158443376277,241.7904991345528,0.9989531293893472,0.009946785671842383,0.028510594460246834,nan,1.0
4,1560,1560,178.3,44.35,1126,nan,1.523214623866937,41.14383012820513,58.85616987179487,91.92307692307692,3.6553073674440384,38.84862959384918,37.51770760004337,1.4935590028762817,42.19000041484833,57.80999958515167,92.58,1.9495073705911636,39.30613676147227,41.53810143470764,-1.0461702866431963,26.088207244873047,0.20169311963095143,0.021531343460083008,0.0005539216720098804,363.0456322694436,0.9987963167520669,0.010149373138182554,0.031643676665612144,nan,1.0
5,1950,1950,222.45,44.12,1132,nan,1.424863502306816,46.66466346153846,53.33533653846154,93.22716346153847,4.194546490907669,43.946051597595215,42.483597795168556,1.4401949644088745,46.059998869895935,53.940001130104065,92.06,2.870406210422516,43.01075320128294,43.27289164066315,0.6046645916425248,26.303237915039062,0.2557621774578489,0.012723922729492188,0.0004272163031210809,513.0763003618289,0.9986524847837595,0.010729164944066578,-0.0151161058291961,nan,1.0
6,2340,2340,266.64,44.12,1131,nan,1.3311922978132198,50.94350961538461,49.05649038461539,93.92828525641026,4.079282283782959,48.174381256103516,46.88008860899852,1.2921336889266968,52.35000252723694,47.64999747276306,94.42,2.546726167201996,49.712725141757815,50.96269249916077,-1.4064929118523253,26.783004760742188,0.3308136566593198,0.00732874870300293,0.00034580725021573654,705.3060153276492,0.9984634151825538,0.0119670681206655,0.03466806890270565,nan,1.0
7,2730,2730,310.97,44.29,1127,nan,1.238368906118931,55.22636217948718,44.77363782051282,94.50320512820512,4.516749829053879,53.59433889389038,50.71218278927681,1.2496875524520874,54.62999939918518,45.37000060081482,94.46,1.8367763608694077,52.5989261686358,54.71698045730591,0.5963627803020017,27.28592872619629,0.4042857125742079,0.0067408084869384766,0.00028936534407639436,906.6023154234275,0.9983288609064542,0.012058159047925794,0.026391986943461027,nan,1.0
8,3120,3120,355.3,44.3,1127,nan,1.1472354772763373,58.76602564102564,41.23397435897436,95.36057692307692,4.4278208166360855,57.95828104019165,54.33818351763945,1.2118628025054932,55.76000213623047,44.23999786376953,94.47,3.3128883689641953,56.08513092879447,52.733683586120605,3.0060235047951736,27.724782943725586,0.47390462786625837,0.004893302917480469,0.00024807534881565415,1111.393642171224,0.9982494201415625,0.012319937472459413,-0.02548905643748301,nan,1.0
9,3510,3510,399.53,44.16,1130,nan,1.0828413902184901,61.38221153846154,38.61778846153846,95.9014423076923,4.240819439291954,60.82608699798584,57.141376244716156,1.0696479082107544,60.93999743461609,39.06000256538391,96.52,2.7186449617147446,60.16282383719371,58.75133275985718,0.44221410384545123,27.90338134765625,0.5464945532276113,0.005608558654785156,0.00021663909748001055,1313.0430094401042,0.9983213314643273,0.011729394811929092,-0.03911105956934599,nan,1.0
10,3900,3900,443.62,44.05,1133,nan,1.0205442287983038,63.98838141025641,36.01161858974359,96.35416666666667,4.252927005290985,63.639575242996216,59.735466333536,1.127955675125122,60.37999987602234,39.62000012397766,95.41,2.5863952934741974,60.17044835280887,61.148327589035034,3.60838153423407,28.070154190063477,0.6230880255317588,0.002340555191040039,0.000191954407341513,1534.1784595978565,0.9982871908407945,0.01165550944409707,-0.01646894831988843,nan,1.0
