epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,12.96,12.96,3852,0.0009984665569678062,1.312554607483057,52.41185897435897,47.58814102564103,93.22315705128206,1.4319892041385174,52.19241976737976,53.83906858853805,1.430882453918457,51.169997453689575,48.830002546310425,94.49,14.395052194595337,49.95305336880273,65.56505560874939,1.2418615206693957,118.17084503173828,nan,0.017416954040527344,nan,nan,nan,nan,nan,nan,nan
2,780,780,25.77,12.81,3896,0.0009938599119938486,0.8571016143529843,69.54326923076923,30.456730769230774,97.71434294871794,0.7021481171250343,69.48056221008301,70.16022258844131,0.8729556798934937,70.41000127792358,29.589998722076416,97.63,6.297928094863892,69.93217899982234,76.64597630500793,-0.8667320471543576,124.67660522460938,nan,0.01627349853515625,nan,nan,nan,nan,nan,nan,nan
3,1170,1170,38.84,13.07,3820,0.0009862084564373637,0.6695249170829088,76.77884615384616,23.22115384615384,98.56570512820512,0.4490253049880266,76.76280736923218,76.9778931599397,0.8477983474731445,73.46000075340271,26.53999924659729,97.43,7.476603239774704,72.12406083988087,80.936598777771,3.3188454004434504,131.68060302734375,nan,0.017648696899414062,nan,nan,nan,nan,nan,nan,nan
4,1560,1560,51.96,13.12,3806,0.0009755593640662239,0.5684925759449984,80.16025641025641,19.83974358974359,98.97435897435898,0.5011145956814289,80.14408349990845,80.55670991922037,0.5342543721199036,81.73999786376953,18.26000213623047,99.11,1.8295180052518845,81.6138491148598,83.257657289505,-1.5797414535131225,138.77513122558594,nan,0.017841339111328125,nan,nan,nan,nan,nan,nan,nan
5,1950,1950,65.07,13.11,3807,0.00096197829007608,0.4930481172524966,82.96073717948718,17.039262820512818,99.24278846153847,0.6314811296761036,82.94571042060852,83.13267755202757,0.5077961683273315,82.41999745368958,17.580002546310425,99.16,2.9080940410494804,82.41532667724478,85.31445264816284,0.5407397257976072,145.70889282226562,nan,0.01760101318359375,nan,nan,nan,nan,nan,nan,nan
6,2340,2340,78.17,13.1,3811,0.0009455489663042465,0.43989003323591674,84.78966346153847,15.210336538461533,99.40504807692308,0.5174251738935709,84.77746248245239,84.97661916109232,0.5267900228500366,82.35999941825867,17.640000581741333,99.32,3.891173005104065,82.89761145971917,86.25050783157349,2.4296640432798,152.80804443359375,nan,0.018566131591796875,nan,nan,nan,nan,nan,nan,nan
7,2730,2730,91.3,13.12,3804,0.0009263726849950816,0.3956694040925075,86.53645833333333,13.463541666666671,99.46915064102564,0.6325162947177887,86.52902841567993,86.47809947148347,0.4763951599597931,84.02000069618225,15.979999303817749,99.19,3.9059948176145554,83.67685565576524,87.8044068813324,2.5164576371510776,159.6064453125,nan,0.017309188842773438,nan,nan,nan,nan,nan,nan,nan
8,3120,3120,104.37,13.07,3819,0.0009045676742996165,0.35450000292979755,87.7363782051282,12.263621794871796,99.61338141025641,0.4297950305044651,87.72236108779907,87.9004999765983,0.4570278227329254,84.82000231742859,15.179997682571411,99.25,2.7102867141366005,84.70485314732585,87.23748922348022,2.9163758876996155,166.3136749267578,nan,0.017171859741210938,nan,nan,nan,nan,nan,nan,nan
9,3510,3510,117.44,13.07,3820,0.0008802683693596909,0.3227827002604802,88.85817307692308,11.14182692307692,99.67948717948718,0.3223850857466459,88.85527849197388,88.89472773441902,0.41607874631881714,85.9499990940094,14.0500009059906,99.44,3.775542229413986,85.99325553462928,89.7177517414093,2.908173982913681,172.75721740722656,nan,0.016620635986328125,nan,nan,nan,nan,nan,nan,nan
10,3900,3900,130.59,13.15,3796,0.0008536245834705981,0.295366445183754,89.765625,10.234375,99.75160256410257,0.2941928105428815,89.76106643676758,89.84281108929561,0.41468292474746704,86.22999787330627,13.770002126693726,99.5,3.526066243648529,86.09571783414681,89.74916934967041,3.5356271266937256,179.0205841064453,nan,0.015872955322265625,nan,nan,nan,nan,nan,nan,nan
