epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,15.33,15.33,3256,0.0009984665569678062,1.2951475906066405,52.888621794871796,47.111378205128204,93.51161858974359,1.5198423527181149,52.5983989238739,54.383248958068016,1.1341274976730347,60.37999987602234,39.62000012397766,96.62,8.649876713752747,59.12458214710161,69.02987360954285,-7.491378081150543,118.3089370727539,nan,0.017889022827148438,nan,nan,nan,nan,nan,nan,nan
2,780,780,28.36,13.02,3833,0.0009938599119938486,0.8523039053647946,69.90184294871794,30.098157051282058,97.76442307692308,0.5045832134783268,69.84367966651917,70.35127349388905,0.8124023675918579,72.53000140190125,27.469998598098755,98.42,5.188390612602234,71.80493184299843,77.22236514091492,-2.6281584531833033,124.86920928955078,nan,0.016717910766601562,nan,nan,nan,nan,nan,nan,nan
3,1170,1170,41.34,12.98,3845,0.0009862084564373637,0.6727855505087437,76.40024038461539,23.599759615384613,98.64583333333333,0.5298296920955181,76.36019587516785,76.90695588405316,0.8744970560073853,71.11999988555908,28.880000114440918,98.04,8.503475040197372,71.07037201714927,79.62347865104675,5.280240499056305,131.94100952148438,nan,0.018514633178710938,nan,nan,nan,nan,nan,nan,nan
4,1560,1560,54.44,13.1,3811,0.0009755593640662239,0.5743698481565866,80.04407051282051,19.95592948717949,98.99839743589743,0.5691845435649157,80.01956939697266,80.31642414056338,0.591177761554718,79.61000204086304,20.389997959136963,99.07,2.3749586194753647,79.49909015174637,81.77242279052734,0.4340684719574739,138.98985290527344,nan,0.018186569213867188,nan,nan,nan,nan,nan,nan,nan
5,1950,1950,67.69,13.25,3768,0.00096197829007608,0.49828193401679016,82.71834935897436,17.281650641025635,99.19070512820512,0.4432287998497486,82.71023631095886,82.95651206603416,0.5199148654937744,81.87999725341797,18.12000274658203,99.17,3.907211869955063,82.11557763435174,85.74109077453613,0.838352105556396,145.92726135253906,nan,0.017652511596679688,nan,nan,nan,nan,nan,nan,nan
6,2340,2340,80.85,13.15,3795,0.0009455489663042465,0.44537668770704514,84.66947115384616,15.33052884615384,99.36097756410257,0.42619872838258743,84.65673327445984,84.83043578954843,0.4739820659160614,83.38000178337097,16.61999821662903,99.26,2.6934877038002014,83.4481511376873,86.0577642917633,1.2894693704751887,152.97183227539062,nan,0.017894744873046875,nan,nan,nan,nan,nan,nan,nan
7,2730,2730,93.94,13.09,3812,0.0009263726849950816,0.40103018807295043,86.18189102564102,13.818108974358978,99.51722756410257,0.43093212880194187,86.1689031124115,86.35005154670813,0.4820244014263153,84.18999910354614,15.810000896453857,99.3,3.385435789823532,83.85676619261311,87.23940253257751,1.9918919220948794,159.82925415039062,nan,0.017772674560546875,nan,nan,nan,nan,nan,nan,nan
8,3120,3120,107.02,13.08,3815,0.0009045676742996165,0.35920004882873635,87.6201923076923,12.379807692307693,99.56129807692308,0.357823446393013,87.60625720024109,87.68104296464186,0.4815552234649658,84.16000008583069,15.839999914169312,99.28,4.214991629123688,83.93968706025493,88.29449415206909,3.460192221861618,166.3136749267578,nan,0.016307830810546875,nan,nan,nan,nan,nan,nan,nan
9,3510,3510,120.09,13.07,3821,0.0008802683693596909,0.3311566590116574,88.46153846153847,11.538461538461533,99.69350961538461,0.34447871148586273,88.4511947631836,88.6421080888846,0.40677550435066223,86.1299991607666,13.870000839233398,99.48,2.8532223775982857,86.21233934425565,88.89837861061096,2.3315393007718654,172.87161254882812,nan,0.01673126220703125,nan,nan,nan,nan,nan,nan,nan
10,3900,3900,133.21,13.12,3805,0.0008536245834705981,0.29728211806370664,89.60336538461539,10.396634615384613,99.73758012820512,0.3078410401940346,89.59962725639343,89.76003961685376,0.4688652455806732,85.19999980926514,14.800000190734863,99.2,3.9014961570501328,85.0562088532772,88.98024559020996,4.40336557535025,179.01092529296875,nan,0.0160675048828125,nan,nan,nan,nan,nan,nan,nan
