epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,45.69,45.69,1093,nan,1.7833843426826672,34.26883012820513,65.73116987179486,85.4286858974359,2.524307370185852,33.188578486442566,31.898059256565876,1.5360515117645264,43.050000071525574,56.949999928474426,91.55,3.5833023488521576,41.53237776104515,39.628905057907104,-8.781169943320442,71.14506530761719,0.11964161283522744,0.43250465393066406,0.0002564102564102564,212.92487424703745,0.9991915852595599,0.00715618454185327,0.067659702793148,nan,1.0
2,780,780,90.07,44.37,1125,nan,1.5031612347333858,44.50320512820513,55.49679487179487,91.38221153846153,3.189735859632492,43.83804500102997,41.31343525953782,1.4121198654174805,48.089998960494995,51.910001039505005,93.2,3.5447392612695694,47.359239664797045,44.600117206573486,-3.586793832289864,66.87866973876953,0.2315333235086879,0.0120697021484375,0.0001282051282051282,452.84241888584233,0.9988945809694437,0.00941230767017035,0.03864939371790987,nan,1.0
3,1170,1170,134.51,44.42,1124,nan,1.426390594091171,47.79647435897436,52.20352564102564,92.71033653846153,3.6064833402633667,47.25207984447479,44.191185197769066,1.3621731996536255,50.11000037193298,49.88999962806702,93.82,3.5989802330732346,48.98446405531157,46.61516547203064,-2.3135260129586257,64.53667449951172,0.3014636358344057,0.005866050720214844,8.547008547008547e-05,618.8780259352463,0.9988325634063818,0.009865260147316417,0.02323862139001893,nan,1.0
4,1560,1560,179.03,44.48,1122,nan,1.3768186104603304,49.57532051282051,50.42467948717949,93.3213141025641,3.44463512301445,49.044784903526306,46.1317433989965,1.3006362915039062,52.7400016784668,47.2599983215332,94.52,4.336846619844437,52.18286173544012,48.428285121917725,-3.164681165646286,62.93532943725586,0.3791539326688162,0.004374027252197266,6.41025641025641e-05,811.0777221679688,0.9988346585860619,0.009732335799407705,-0.023901989764659237,nan,1.0
5,1950,1950,223.51,44.44,1123,nan,1.3401156425476075,51.31009615384615,48.68990384615385,93.68790064102564,3.943799063563347,50.84652900695801,47.366303373605774,1.2693473100662231,53.82999777793884,46.17000222206116,95.04,4.209378361701965,53.05356189644932,49.620625376701355,-2.5199016240926895,61.73495864868164,0.4361138503437045,0.0034265518188476562,5.1282051282051286e-05,974.1967823517629,0.9987835234556443,0.01003843169345158,-0.04818185074701211,nan,1.0
6,2340,2340,268.22,44.67,1118,nan,1.3088854325123322,52.27564102564103,47.72435897435897,94.0645032051282,3.858328238129616,51.824355125427246,48.41836746686544,1.2353423833847046,55.080002546310425,44.919997453689575,95.4,3.97377572953701,54.40880082440975,51.184284687042236,-2.8043615206693957,60.7785758972168,0.49293913688129737,0.0024518966674804688,4.2735042735042735e-05,1138.2987868088942,0.9987650701632866,0.010094889235540236,0.018174570814307567,nan,1.0
7,2730,2730,312.63,44.37,1125,nan,1.2876613568036983,53.127003205128204,46.872996794871796,94.2948717948718,3.758063167333603,52.70599722862244,49.3689422424023,1.2213348150253296,55.93000054359436,44.06999945640564,95.34,3.7493042647838593,55.34763234771003,52.18069553375244,-2.802997338466156,59.98318862915039,0.5433746458855974,0.0020737648010253906,3.663003663003663e-05,1280.3874475723658,0.9987724068837288,0.009946608383954109,-0.009079951336558555,nan,1.0
8,3120,3120,357.05,44.4,1124,nan,1.2626522981203518,53.97636217948718,46.02363782051282,94.62540064102564,3.7502817809581757,53.52811813354492,50.23228002664371,1.2109546661376953,56.370002031326294,43.629997968673706,95.55,2.4945756420493126,55.62570071050572,53.87542247772217,-2.3936398518391115,59.30764389038086,0.5799038509654815,0.001735687255859375,3.205128205128205e-05,1388.4478647085336,0.9987565217873989,0.009979777101635017,-0.006354231404772649,nan,1.0
9,3510,3510,401.45,44.37,1125,nan,1.2511943535927015,54.8036858974359,45.1963141025641,94.60336538461539,3.9688337594270706,54.379451274871826,50.83537214841598,1.1833813190460205,57.520002126693726,42.479997873306274,95.43,5.010874941945076,57.08367087943063,52.50912308692932,-2.716316229257828,58.71808624267578,0.6238087425432433,0.0014638900756835938,2.8490028490028492e-05,1514.9926438551684,0.9987741676660684,0.009787226819148476,-0.022442377704900016,nan,1.0
10,3900,3900,445.8,44.29,1127,nan,1.2332317486787454,55.33253205128205,44.66746794871795,94.6454326923077,4.000954329967499,54.927533864974976,51.33263263182762,1.164322018623352,58.70000123977661,41.29999876022339,95.79,5.770572647452354,58.4059239611614,52.929431200027466,-3.3674691884945602,58.201656341552734,0.6591243708668727,0.0013556480407714844,2.5641025641025643e-05,1623.2818731845953,0.9987197163777474,0.010133468107983833,-0.027720158723980332,nan,1.0
