epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,34.12,34.12,1463,nan,4.825407393773397,4.469150641025641,95.53084935897436,17.80448717948718,2.5748927146196365,3.6649342626333237,7.044043278273864,3.862617254257202,8.579999953508377,91.42000004649162,29.88,1.550977397710085,5.447470112171065,7.259772717952728,-4.110849312482736,72.7625732421875,0.16488178476651588,41.67238712310791,0.002564102564102564,146.1387647335346,1.0002136959479406,-0.0012162639173277036,-0.022465968499788613,nan,1.0
2,780,780,68.06,33.89,1473,nan,3.6848063689011794,11.584535256410257,88.41546474358974,35.87139423076923,1.2678436934947968,9.76119339466095,10.558873256429647,3.5747241973876953,14.000000059604645,85.99999994039536,39.76,1.9499683752655983,11.162351368096447,12.121883779764175,-2.4154648031943875,71.05126953125,0.300831242327343,0.0047588348388671875,0.001282051282051282,301.7084980108799,0.9999231981925475,0.0015675262159122118,0.005719439882682172,nan,1.0
3,1170,1170,102.42,34.3,1455,nan,3.374511831234663,17.890625,82.109375,45.77524038461539,4.04517836868763,15.525953471660614,13.845451974715942,3.156900644302368,22.509999573230743,77.49000042676926,51.78,6.232542544603348,19.45177510949576,16.277457773685455,-4.619374573230743,70.47406005859375,0.4581738272015465,0.0015439987182617188,0.0008547008547008547,542.1678092760917,0.9998683510682522,0.0025196202462320198,-0.009247867122129194,nan,1.0
4,1560,1560,136.95,34.48,1448,nan,3.0994505564371746,23.151041666666668,76.84895833333333,53.619791666666664,5.926216766238213,20.667338371276855,17.22483487847524,2.941772937774658,26.649999618530273,73.35000038146973,57.83,6.97341114282608,23.798016617822963,19.676589965820312,-3.4989579518636056,70.18513488769531,0.64453661589541,0.0007581710815429688,0.000641025641025641,853.0113251514924,0.9998267697982299,0.003063959267226556,-0.006098483575041624,nan,1.0
5,1950,1950,171.34,34.34,1454,nan,2.855552690457075,27.970753205128204,72.0292467948718,60.23838141025641,7.393317669630051,25.62635838985443,20.577428891108585,2.699242353439331,31.380000710487366,68.61999928951263,63.38,8.232612907886505,29.29148270799989,23.14738780260086,-3.4092475053591613,70.01216125488281,0.8532798702772867,0.00045108795166015625,0.0005128205128205128,1212.3019265199318,0.9997929382018554,0.003429856284762576,-0.020429969949801157,nan,1.0
6,2340,2340,205.72,34.32,1455,nan,2.646328066556882,32.10336538461539,67.89663461538461,65.26041666666667,8.38634967803955,30.121010541915894,23.71701514491668,2.626383066177368,31.90000057220459,68.09999942779541,65.05,5.413781479001045,30.22687520983263,26.486217975616455,0.20336481241079696,69.8970947265625,1.0785613616944378,0.00030040740966796875,0.00042735042735042735,1598.1695268679887,0.999769298846905,0.003625345580658243,-0.005017669951058574,nan,1.0
7,2730,2730,240.13,34.36,1453,nan,2.4731399022615874,35.92548076923077,64.07451923076923,69.27483974358974,9.316027164459229,34.113821387290955,26.609451308464394,2.3975727558135986,37.27999925613403,62.72000074386597,70.57,8.056813478469849,35.33956485977783,29.223185777664185,-1.3545184869032667,69.81510925292969,1.3116801590000315,0.0002117156982421875,0.0003663003663003663,2001.0740303235177,0.9997508006218152,0.0037614060618493704,-0.0010749738228405586,nan,1.0
8,3120,3120,274.5,34.32,1455,nan,2.3213711011104095,39.80168269230769,60.19831730769231,72.7363782051282,10.484153032302856,38.17744851112366,29.317535001498,2.323546886444092,38.87999951839447,61.12000048160553,71.98,5.323577672243118,37.398940002851184,33.55642259120941,0.9216831739132232,69.75379943847656,1.5532569827432308,0.0001621246337890625,0.0003205128205128205,2426.0590056590545,0.9997347926482176,0.00387386621773573,0.005201327259367959,nan,1.0
9,3510,3510,308.86,34.3,1455,nan,2.1864737474001372,42.56209935897436,57.43790064102564,75.6270032051282,10.651987791061401,41.07925295829773,31.91009961641752,2.147395610809326,42.820000648498535,57.179999351501465,75.74,7.942096143960953,41.34080218105293,34.94289517402649,-0.25790128952417746,69.70621490478516,1.799098372695938,0.0001239776611328125,0.0002849002849002849,2863.3789638421476,0.9997226603520222,0.00394211438515416,-0.0032181941358617352,nan,1.0
10,3900,3900,334.96,26.05,1917,nan,2.062899459019685,45.466746794871796,54.533253205128204,78.0108173076923,11.208981275558472,44.17702257633209,34.257762898237274,2.096991539001465,44.31000053882599,55.68999946117401,76.27,7.451061904430389,42.60953900074402,36.85894012451172,1.1567462560458068,69.66839599609375,2.032420208475237,9.918212890625e-05,0.0002564102564102564,3300.816240359575,0.999705253350429,0.004092187262110776,0.006396925009955028,nan,1.0
